[2026-01-27 13:31:27] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-27 13:31:27] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #unknown)
[2026-01-27 13:31:27] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-27 13:31:27] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2026-01-27 13:31:31] info: 	z2m: zigbee-herdsman started (resumed)
[2026-01-27 13:31:31] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"3 ","majorrel":"6","minorrel":"10","product":8,"revision":"6.10.3.0 build 297"},"type":"EZSP v8"}'
[2026-01-27 13:31:31] info: 	z2m: sirene (0x0015bc0041009f14): SIRZB-111 - Develco Customizable siren (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_cage_escalier_rdc (0xa4c138ec49f8db47): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_sejour_placard (0xa4c13887d731b878): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_box (0xa4c1384ccc351a40): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_onduleur (0xa4c1386bff87702b): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_buanderie (0xa4c138152f77a748): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_palier (0xa4c13872a2197bca): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_lampe_parents (0xa4c138e56ee153be): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_refrigerateur (0xa4c138d8b1d617a6): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: prise_lampe_sejour (0xa4c13891e2b3cd50): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-27 13:31:31] info: 	z2m: capteur_fenetre_sejour_3 (0x00158d008b32f9a2): MCCGQ11LM - Aqara Door and window sensor (EndDevice)
