[2026-01-26 13:50:51] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-26 13:50:51] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #unknown)
[2026-01-26 13:50:51] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-26 13:50:51] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2026-01-26 13:50:56] info: 	z2m: zigbee-herdsman started (resumed)
[2026-01-26 13:50:56] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"3 ","majorrel":"6","minorrel":"10","product":8,"revision":"6.10.3.0 build 297"},"type":"EZSP v8"}'
[2026-01-26 13:50:56] info: 	z2m: sirene (0x0015bc0041009f14): SIRZB-111 - Develco Customizable siren (Router)
[2026-01-26 13:50:56] info: 	z2m: prise_cage_escalier_rdc (0xa4c138ec49f8db47): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-26 13:50:56] info: 	z2m: prise_sejour_placard (0xa4c13887d731b878): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-26 13:50:56] info: 	z2m: prise_box (0xa4c1384ccc351a40): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-26 13:50:56] info: 	z2m: prise_onduleur (0xa4c1386bff87702b): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-26 13:50:56] info: 	z2m: prise_buanderie (0xa4c138152f77a748): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-26 13:50:56] info: 	z2m: prise_palier (0xa4c13872a2197bca): A1Z - Nous Smart plug (with power monitoring) (Router)
[2026-01-26 13:50:56] info: 	z2m: Currently 7 devices are joined.
[2026-01-26 13:50:56] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2026-01-26 13:50:56] info: 	z2m: Connected to MQTT server
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prises/availability', payload '{"state":"offline"}'
[2026-01-26 13:50:56] info: 	z2m: Started frontend on port 8099
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/sirene', payload '{"ac_status":false,"alarm":false,"battery":100,"battery_low":false,"enrolled":true,"ias_cie_address":"0xfc4d6afffe4fcc75","linkquality":192,"max_duration":60,"restore_reports":true,"supervision_reports":true,"tamper":false,"test":false,"voltage":4000,"zone_id":23}'
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise_cage_escalier_rdc', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"energy":0,"indicator_mode":"off/on","linkquality":255,"power":0,"power_outage_memory":"restore","state":"OFF","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":231}'
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise_sejour_placard', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"energy":0.52,"indicator_mode":"off/on","linkquality":148,"power":0,"power_outage_memory":"restore","state":"OFF","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":228}'
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise_box', payload '{"child_lock":"LOCK","countdown":0,"current":0.05,"energy":27.33,"indicator_mode":"off","linkquality":255,"power":5,"power_outage_memory":"on","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":228}'
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise_onduleur', payload '{"child_lock":"LOCK","countdown":0,"current":0.34,"energy":101.41,"indicator_mode":"off","linkquality":255,"power":30,"power_outage_memory":"on","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":229}'
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise_buanderie', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"energy":131.11,"indicator_mode":"off","linkquality":180,"power":0,"power_outage_memory":"on","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":229}'
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/prise_palier', payload '{"child_lock":"LOCK","countdown":0,"current":0,"energy":0,"indicator_mode":"off/on","linkquality":255,"power":0,"power_outage_memory":"restore","state":"OFF","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":229}'
[2026-01-26 13:50:56] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Prises', payload '{"state":"ON"}'
