[2026-01-26 10:24:57] info: 	z2m: Logging to console, file (filename: log.log)
[2026-01-26 10:24:57] info: 	z2m: Starting Zigbee2MQTT version 2.7.2 (commit #unknown)
[2026-01-26 10:24:57] info: 	z2m: Starting zigbee-herdsman (8.0.1)
[2026-01-26 10:24:57] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2026-01-26 10:25:01] info: 	zh:ezsp:driv: Leaving current network and forming new network
[2026-01-26 10:25:02] info: 	zh:ezsp:driv: Form network
[2026-01-26 10:25:03] info: 	zh:controller: Wrote coordinator backup to '/config/zigbee2mqtt/coordinator_backup.json'
[2026-01-26 10:25:03] info: 	z2m: zigbee-herdsman started (reset)
[2026-01-26 10:25:03] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"3 ","majorrel":"6","minorrel":"10","product":8,"revision":"6.10.3.0 build 297"},"type":"EZSP v8"}'
[2026-01-26 10:25:03] info: 	z2m: Currently 0 devices are joined.
[2026-01-26 10:25:03] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
[2026-01-26 10:25:04] info: 	z2m: Connected to MQTT server
[2026-01-26 10:25:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/state', payload '{"state":"online"}'
[2026-01-26 10:25:04] info: 	z2m: Started frontend on port 8099
[2026-01-26 10:25:04] info: 	z2m: Zigbee2MQTT started!
[2026-01-26 10:25:04] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/0x00158d0008482575/contact/config', payload ''
[2026-01-26 10:25:04] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/0x00158d008b3193e8/contact/config', payload ''
[2026-01-26 10:25:04] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/0x0015bc0043005dda/battery_low/config', payload ''
[2026-01-26 10:25:04] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/0x0015bc0043005dda/tamper/config', payload ''
[2026-01-26 10:25:04] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/binary_sensor/0x0015bc0043005dcf/battery_low/config', payload ''
